Field,Required Enum TRUE,Required Enum FALSE
medium_priority_alarm,Normal,Alarm
low_priority_alarm,Normal,Alarm
high_priority_alarm,Normal,Alarm
hot_water_isolation_valve_run_command,Open,Close
exhaust_damper_command,Open,Close
exhaust_damper_status,Open,Close
floor_damper_command,Open,Close
floor_damper_status,Open,Close
outside_damper_command,Open,Close
outside_damper_status,Open,Close
return_damper_command,Open,Close
entering_water_valve_status,Open,Close
expansion_valve_status,Open,Close
hot_water_isolation_valve_run_status,Open,Close
hot_water_valve_command,Open,Close
hot_water_valve_status,Open,Close
leaving_water_valve_status,Open,Close
primary_loop_isolation_valve_run_command,Open,Close
primary_loop_isolation_valve_run_status,Open,Close
primary_loop_valve_command,Open,Close
primary_loop_valve_status,Open,Close
purge_liquid_valve_status,Open,Close
reversing_heating_cooling_valve_command,Cooling,Heating
reversing_heating_cooling_valve_status,Cooling,Heating
secondary_loop_isolation_valve_run_command,Open,Close
secondary_loop_isolation_valve_run_status,Open,Close
secondary_loop_valve_command,Open,Close
secondary_loop_valve_status,Open,Close
steam_valve_status,Open,Close
economizer_mode,On,Off
economizer_status,On,Off
emergency_command,On,Off
fire_alarm,Alarm,Normal
fire_bypass_status,Alarm,Normal
fire_fault_label,Alarm,Normal
fire_status,Alarm,Normal
fire_supervisory_status,Alarm,Normal
gas_heater_stage_command,On,Off
gas_heater_stage_enable_command,On,Off
gas_heater_stage_status,On,Off
high_condensing_fan_speed_command,On,Off
high_condensing_fan_speed_status,On,Off
high_discharge_fan_speed_command,On,Off
high_exhaust_fan_speed_command,On,Off
high_exhaust_fan_speed_status,On,Off
high_speed_command,On,Off
high_speed_status,On,Off
domestic_hot_water_pump_run_status,On,Off
door_status,Open,Close
hot_season_release_status,On,Off
emergency_status,Normal,Alarm
fault_label,Normal,
idle_enable_status,On,Off
leadlag_reversing_command,On,Off
lock_status,On,Off
low_condensing_fan_speed_command,On,Off
low_condensing_fan_speed_status,On,Off
low_discharge_fan_speed_command,On,Off
low_exhaust_fan_speed_command,On,Off
low_exhaust_fan_speed_status,On,Off
low_speed_command,On,Off
low_speed_status,On,Off
medium_discharge_fan_speed_command,On,Off
medium_exhaust_fan_speed_command,On,Off
medium_exhaust_fan_speed_status,On,Off
occupancy_label,Occupied,Unoccupied
oil_pump_status,On,Off
oil_return_status,On,Off
preheat_enable_command,On,Off
device_control_mode,Remote,No Remote
return_fan_status,On,Off
return_fan_command,On,Off
occupied_mode,Occupied,Unoccupied
occupancy_status,Occupied,Unoccupied
building_status,On,Off
building_command,On,Off
bypass_valve_command,Open,Close
bypass_valve_status,Open,Close
central_heating_water_pump_run_status,On,Off
chilled_water_isolation_valve_run_command,Open,Close
chilled_water_isolation_valve_run_status,Open,Close
chilled_water_pump_enable_command,On,Off
chilled_water_pump_run_command,On,Off
chilled_water_pump_run_status,On,Off
chilled_water_valve_command,Open,Close
chilled_water_valve_status,Open,Close
cold_season_release_status,On,Off
compressor_cooling_stage_command,On,Off
compressor_cooling_stage_status,On,Off
compressor_enable_command,On,Off
compressor_enable_status,On,Off
compressor_heating_stage_command,On,Off
compressor_heating_stage_status,On,Off
compressor_stage_command,On,Off
compressor_stage_status,On,Off
condensing_fan_command,On,Off
condensing_fan_enable_command,On,Off
condensing_fan_status,On,Off
discharge_fan_status,On,Off
discharge_fan_command,On,Off
condensing_water_isolation_valve_run_command,On,Off
condensing_water_isolation_valve_run_status,On,Off
condensing_water_pump_enable_command,On,Off
condensing_water_pump_run_command,On,Off
condensing_water_pump_run_status,On,Off
condensing_water_valve_command,Open,Close
condensing_water_valve_status,Open,Close
connection_status,Connected,Disconnected
cooling_enable_command,On,Off
cooling_stage_command,On,Off
cooling_stage_status,On,Off
defrost_mode,On,Off
defrost_status,On,Off
dehumidifier_enable_command,On,Off
dehumidifier_run_status,On,Off
discharge_damper_command,Open,Close
discharge_damper_status,Open,Close
supply_fan_command,On,Off
supply_fan_status,On,Off
heat_wheel_command,On,Off
heat_wheel_status,On,Off
heating_enable_command,On,Off
heating_enable_status,On,Off
heating_stage_command,On,Off
heating_stage_status,On,Off
enable_command,On,Off
enable_status,On,Off
exhaust_fan_command,On,Off
exhaust_fan_status,On,Off
discharge_fan_enable_command,On,Off
discharge_fan_enable_status,On,Off
secondary_loop_pump_enable_command,On,Off
secondary_loop_pump_run_command,On,Off
secondary_loop_pump_run_status,On,Off
electric_heater_enable_command,On,Off
electric_heater_stage_command,On,Off
electric_heater_stage_enable_command,On,Off
electric_heater_stage_status,On,Off
filter_status,Normal,Alarm
motion_detection_sensor,Active,Idle
hot_water_pump_enable_command,On,Off
hot_water_pump_run_command,On,Off
hot_water_pump_run_status,On,Off
humidifier_enable_command,On,Off
humidifier_run_command,On,Off
humidifier_run_status,On,Off
vfd_bypass_status,On,Off
sump_heating_command,On,Off
storm_enable_status,On,Off
sump_heating_status,On,Off
supplemental_heater_command,On,Off
supplemental_heater_enable_command,On,Off
threshold_alarm,Normal,Alarm
primary_loop_pump_enable_command,On,Off
primary_loop_pump_run_command,On,Off
primary_loop_pump_run_status,On,Off
radiator_run_status,On,Off
run_command,On,Off
radiator_run_command,On,Off
run_status,On,Off
unoccupied_device_status,Cooling,Heating
device_mode,Cooling,Heating
device_status,Cooling,Heating
audio_up_command,On,Off
audio_down_command,On,Off
audio_mute_command,On,Off
audio_mute_sensor,On,Off
screen_status,On,Off
screen_on_command,On,Off
screen_off_command,On,Off
water_leak_detection_status,Water Detected,No Water Detected
user_occupancy_override_status,Enabled,Disabled
storagedrive_mount_status,Online,Offline
calculated_building_startup_status,On,Off
dispenser_refill_status,Full,Empty